theta,N,alpha,beta,mean_value,sd_value,mean_stopping_time,sd_stopping_time,mean_stopping_fraction,sd_stopping_fraction,upper_bound_time,upper_bound_fraction,relative_gap,early_stop_prob,n_success
0.5,1000,0.01,0.99,0.9907094135173143,0.0005100042546326453,273.254,30.45620864931454,0.273254,0.030456208649314503,294.26231647438215,0.29426231647438217,0.07139315943029052,1.0,500
0.5,1000,0.05,0.8,0.8069468876637422,0.0053392373671194,155.74,26.652074330758282,0.15574000000000002,0.026652074330758273,157.25847808013108,0.15725847808013108,0.009655937782618737,1.0,500
0.5,1000,0.05,0.9,0.9042318134052533,0.003491997972878128,178.84,26.255534772927877,0.17884,0.026255534772927882,185.08211529662154,0.18508211529662152,0.0337261938389758,1.0,500
0.5,1000,0.05,0.95,0.9525881604800511,0.0020019903519491768,197.364,26.586861914353587,0.197364,0.026586861914353596,208.05935515022296,0.20805935515022295,0.051405307598404684,1.0,500
0.5,1000,0.05,0.99,0.9907111209643095,0.0005323699635083253,235.978,29.4086254439238,0.23597800000000002,0.02940862544392379,251.1608358123026,0.2511608358123026,0.060450650131014035,1.0,500
0.5,5000,0.01,0.8,0.8031759209681723,0.0025159407851693444,444.394,40.80638536028822,0.0888788,0.008161277072057643,448.01848771663634,0.08960369754332727,0.008090040513972706,1.0,500
0.5,5000,0.01,0.9,0.9016828104739689,0.0014443234408636526,502.122,43.66789307685388,0.10042440000000001,0.008733578615370774,510.23403191400195,0.10204680638280039,0.015898649260167656,1.0,500
0.5,5000,0.01,0.95,0.9510315349099153,0.0008996075239092609,551.094,46.70833438479695,0.1102188,0.00934166687695939,561.6127021619722,0.11232254043239442,0.01872945914770005,1.0,500
0.5,5000,0.01,0.99,0.9902787902218319,0.00022052787991023757,637.64,50.40972804293557,0.127528,0.010081945608587117,657.9905428532746,0.13159810857065493,0.030928321195966814,1.0,500
0.5,5000,0.05,0.8,0.8029776983197434,0.0023755214329002905,349.964,35.79784456291609,0.06999280000000001,0.00715956891258322,351.6406470253337,0.07032812940506673,0.004768069446797585,1.0,500
0.5,5000,0.05,0.9,0.9018641713399368,0.001536486880876169,407.35,38.079069461610054,0.08147,0.007615813892322014,413.85619122269935,0.08277123824453987,0.01572089861330193,1.0,500
0.5,5000,0.05,0.95,0.9511168802996814,0.00089593182012094,455.76,43.154641072452286,0.091152,0.008630928214490453,465.23486147066944,0.09304697229413389,0.020365759867431606,1.0,500
0.5,5000,0.05,0.99,0.9902787453308018,0.00022642118462327872,544.896,45.92222648970259,0.10897920000000001,0.009184445297940517,561.6127021619722,0.11232254043239442,0.029765534322175772,1.0,500
0.5,10000,0.01,0.8,0.8021635943524843,0.0017941876332401427,630.586,50.870602910531346,0.06305859999999999,0.005087060291053137,633.593821522751,0.0633593821522751,0.004747239352054006,1.0,500
0.5,10000,0.01,0.9,0.9013845861989472,0.0011392795848449823,712.116,53.171015202979056,0.0712116,0.005317101520297907,721.5798879170882,0.07215798879170882,0.013115509558347878,1.0,500
0.5,10000,0.01,0.95,0.9507271774423203,0.0005659217385090285,782.55,56.68687947496512,0.07825499999999999,0.005668687947496506,794.2403001984627,0.07942403001984627,0.01471884541182517,1.0,500
0.5,10000,0.01,0.99,0.9901933697861202,0.00015335045155858015,908.2,59.919351275815934,0.09082,0.005991935127581598,930.5391496163363,0.09305391496163364,0.02400667357794335,1.0,500
0.5,10000,0.05,0.8,0.8021855177709032,0.0016454591141295309,495.378,44.295906929890066,0.0495378,0.004429590692989005,497.2949721048772,0.04972949721048772,0.003854798886792164,1.0,500
0.5,10000,0.05,0.9,0.9012739417872004,0.0010406415277269892,579.8,50.56046599313427,0.05798,0.005056046599313421,585.2810384992144,0.058528103849921444,0.009364797659034063,1.0,500
0.5,10000,0.05,0.95,0.9507171907875084,0.0005623807789769833,649.392,48.89961841735296,0.0649392,0.004889961841735299,657.9414507805889,0.06579414507805889,0.012994242527881051,1.0,500
0.5,10000,0.05,0.99,0.990201845103459,0.0001601442651703425,776.372,52.26563890377732,0.07763719999999999,0.005226563890377728,794.2403001984627,0.07942403001984627,0.022497347709500414,1.0,500
0.5,50000,0.01,0.8,0.8009299073634388,0.0007353575440373628,1410.916,73.70814558412722,0.028218319999999998,0.0014741629116825452,1416.7588550487405,0.02833517710097481,0.004124099897395491,1.0,500
0.5,50000,0.01,0.9,0.9005686462357483,0.0004504199472122635,1601.616,80.66430439796784,0.032032319999999996,0.001613286087959358,1613.5016805792886,0.03227003361158577,0.007366388719856501,1.0,500
0.5,50000,0.01,0.95,0.9503623261297887,0.0002711215803503407,1761.23,81.74902388292861,0.0352246,0.0016349804776585708,1775.9753017136022,0.03551950603427204,0.008302650211055647,1.0,500
0.5,50000,0.01,0.99,0.9900892802229206,7.200763807438565e-05,2062.034,91.15680979468225,0.041240679999999995,0.001823136195893646,2080.7487942669754,0.04161497588533951,0.008994259335168182,1.0,500
0.5,50000,0.05,0.8,0.8009432748794088,0.000761981266406781,1106.064,66.93265170100057,0.02212128,0.0013386530340200118,1111.9853624953673,0.022239707249907346,0.005325036367456636,1.0,500
0.5,50000,0.05,0.9,0.9005288707302388,0.0004402881680002438,1301.332,76.00119828187279,0.02602664,0.0015200239656374588,1308.7281880259152,0.026174563760518302,0.005651431743876107,1.0,500
0.5,50000,0.05,0.95,0.9503467689988548,0.00028293075340753837,1465.93,80.04591054882934,0.0293186,0.0016009182109765834,1471.2018091602288,0.029424036183204577,0.0035833351532092174,1.0,500
