theta,N,alpha,beta,mean_value,sd_value,mean_stopping_time,sd_stopping_time,mean_stopping_fraction,sd_stopping_fraction,upper_bound_time,upper_bound_fraction,relative_gap,early_stop_prob,n_success
0.1,5000,0.01,0.99,0.9903386809103936,0.00027686312318632217,2733.424,436.8837316884527,0.5466848,0.08737674633769058,3289.9527142663737,0.6579905428532747,0.16916009517494665,1.0,500
0.1,5000,0.05,0.8,0.8028941938025422,0.0025665786157041495,1664.298,404.30506596966814,0.3328596,0.08086101319393357,1758.2032351266685,0.3516406470253337,0.05340977268757176,1.0,500
0.1,5000,0.05,0.9,0.9019090229739561,0.0016129551356064602,1878.884,385.1065575465193,0.37577679999999997,0.07702131150930387,2069.280956113497,0.41385619122269934,0.09201116723709601,1.0,500
0.1,5000,0.05,0.95,0.9510784015071284,0.0009142791589092292,2051.324,384.7492625256456,0.4102648,0.07694985250512909,2326.174307353347,0.46523486147066945,0.11815550815968899,1.0,500
0.1,5000,0.05,0.99,0.9903218072646245,0.00027091956189381446,2355.324,371.2142387437372,0.4710648,0.0742428477487474,2808.0635108098604,0.5616127021619721,0.16122837288651212,1.0,500
0.1,10000,0.01,0.8,0.8019774043821534,0.0017036916805752572,3031.744,519.3388567788093,0.3031744,0.05193388567788092,3167.969107613755,0.3167969107613755,0.04300076894258774,1.0,500
0.1,10000,0.01,0.9,0.9012677253201503,0.0010876231679711737,3355.462,529.7053407811783,0.3355462,0.05297053407811782,3607.8994395854415,0.36078994395854413,0.0699679810406376,1.0,500
0.1,10000,0.01,0.95,0.9508043582105473,0.0006949928723049694,3675.764,563.3991849365548,0.36757639999999997,0.05633991849365553,3971.201500992313,0.3971201500992313,0.07439499126863498,1.0,500
0.1,10000,0.01,0.99,0.9902198919518993,0.00018206204810793057,4139.578,548.56702733847,0.41395780000000004,0.05485670273384701,4652.695748081682,0.46526957480816816,0.11028396780366327,1.0,500
0.1,10000,0.05,0.8,0.8020444651825515,0.0017849357709790858,2390.834,454.99139418406946,0.2390834,0.04549913941840693,2486.4748605243863,0.24864748605243864,0.03846443897052558,1.0,500
0.1,10000,0.05,0.9,0.9012656325969287,0.0011728712768318945,2787.274,486.6137449739733,0.2787274,0.048661374497397346,2926.4051924960722,0.2926405192496072,0.04754337945163372,1.0,500
0.1,10000,0.05,0.95,0.9507734786233916,0.0006059136348020305,3038.47,494.61681804543076,0.303847,0.049461681804543044,3289.707253902944,0.3289707253902944,0.07637070247052345,1.0,500
0.1,10000,0.05,0.99,0.9901983798670788,0.00016509158103845088,3546.19,522.2279789747461,0.354619,0.052222797897474624,3971.201500992313,0.3971201500992313,0.10702340359362578,1.0,500
0.1,50000,0.01,0.8,0.8007893440905242,0.0006595790872629048,6910.482,763.4901414348037,0.13820964,0.015269802828696073,7083.794275243703,0.14167588550487406,0.024466023222807505,1.0,500
0.1,50000,0.01,0.9,0.9005090598238121,0.0004317285574639929,7876.904,859.6955598904709,0.15753808,0.01719391119780942,8067.508402896442,0.16135016805792884,0.02362617965517216,1.0,500
0.1,50000,0.01,0.95,0.9503066747573589,0.00026776788861045857,8553.968,856.222087721992,0.17107936,0.017124441754439838,8879.87650856801,0.1775975301713602,0.036701919024836355,1.0,500
0.1,50000,0.01,0.99,0.9900796778819851,6.613489099223016e-05,9892.392,955.8088697679336,0.19784784,0.019116177395358678,10403.743971334876,0.20807487942669753,0.049150764642400785,1.0,500
0.1,50000,0.05,0.8,0.8008016406135735,0.0006347661143574283,5392.8,717.4295242352997,0.107856,0.014348590484705997,5559.926812476836,0.11119853624953671,0.030059174898092636,1.0,500
0.1,50000,0.05,0.9,0.9005006797228802,0.0004544552004044813,6378.268,773.411996550879,0.12756536,0.015468239931017591,6543.640940129575,0.1308728188025915,0.025272312714380178,1.0,500
0.1,50000,0.05,0.95,0.9503026747559129,0.00026265100428612465,7052.988,817.056896305024,0.14105976,0.016341137926100483,7356.009045801145,0.14712018091602289,0.04119367498251111,1.0,500
0.1,50000,0.05,0.99,0.990077504556578,6.738296144585525e-05,8397.272,888.2086642667687,0.16794544,0.017764173285335378,8879.87650856801,0.1775975301713602,0.054348110370944364,1.0,500
0.5,1000,0.01,0.8,0.8070686240737349,0.005832530621196238,199.242,27.38560532026844,0.199242,0.02738560532026842,200.3599587422107,0.2003599587422107,0.005579751309736913,1.0,500
0.5,1000,0.01,0.9,0.9046290051834757,0.0037778075108593065,222.238,28.741633896458914,0.222238,0.02874163389645891,228.18359595870115,0.22818359595870114,0.026056193626544634,1.0,500
0.5,1000,0.01,0.95,0.9527777907378489,0.0021708679911816423,239.168,28.241723848445652,0.23916800000000002,0.028241723848445654,251.1608358123026,0.2511608358123026,0.04774962534869508,1.0,500
