theta,N,alpha,lambda,psi,mean_theta_hat,sd_theta_hat,mean_b_hat,sd_b_hat,power,sd_outer_power,mean_seq_stopping_time,mean_total_stopping_time,mean_total_stopping_fraction,early_stop_prob,n_outer_success,n_inner_success
0.05,5000,0.05,0.25,0.5,0.038859014670076034,0.03890739331109229,0.38084942477159395,0.47543399234160916,0.33076923076923076,0.3632848293969691,877.0288461538462,3377.028846153846,0.6754057692307692,0.9115384615384615,52,520
0.05,5000,0.05,0.25,0.75,0.008646770885986576,0.001511932526094507,1.0152090892154861e-06,9.060820482949405e-07,0.025,0.05,1.0,3751.0,0.7501999999999999,1.0,4,40
0.05,5000,0.05,0.5,0.1,0.050519469308141614,0.04454578619202323,0.4881644732470968,0.46579032763553624,0.4738,0.4465561384300287,1837.7338,2337.7338,0.46754676,0.9782000000000001,500,5000
0.05,5000,0.05,0.5,0.25,0.050847758288623084,0.027751499887322104,0.4493522595723066,0.4826326695377343,0.4354,0.43232006810066687,1414.7226,2664.7226,0.53294452,0.9612,500,5000
0.05,5000,0.05,0.5,0.5,0.05111128459696389,0.019738893589081055,0.1427240935339614,0.34556928313831076,0.15259999999999999,0.27401351574991195,317.1582,2817.1582000000003,0.5634316399999999,0.9693999999999999,500,5000
0.05,5000,0.05,0.5,0.75,0.032530425820535586,0.009410179510794548,0.00045759503655046197,0.0032991968114896297,0.0545,0.06930922625611331,1.0,3751.0,0.7501999999999999,1.0,200,2000
0.05,5000,0.05,0.5,0.9,0.0175842046464294,0.004145939057087382,3.765054121881223e-05,0.00015699745740010315,0.06000000000000001,0.09403246919632546,1.0,4501.0,0.9002000000000001,1.0,20,200
0.05,5000,0.05,0.75,0.1,0.0416552552129832,0.0380411313043111,0.6456354647811837,0.3990900715701277,0.6235546038543897,0.378728671144376,2485.3147751605998,2985.3147751605998,0.5970629550321199,0.9648822269807281,467,4670
0.05,5000,0.05,0.75,0.25,0.05036475046575297,0.026509185739569358,0.7178529690867794,0.33514453676344164,0.6675350701402806,0.32099890570279943,2398.298396793587,3648.298396793587,0.7296596793587175,0.9354709418837676,499,4990
0.05,5000,0.05,0.75,0.5,0.05048129967501835,0.020581384221941404,0.5560741247385045,0.3396985964538839,0.4672,0.29943861971019675,1510.1904,4010.1904,0.80203808,0.8636,500,5000
0.05,5000,0.05,0.75,0.75,0.04886413971870656,0.01675936195389582,0.01775297956468401,0.04256557475993747,0.0476,0.071164378290511,3.2498,3753.2497999999996,0.7506499599999998,0.9992000000000001,500,5000
0.05,5000,0.05,0.75,0.9,0.050432288715065055,0.014675207704834964,0.00041697649066403534,0.00329956682570848,0.053521126760563385,0.07318141989660143,1.2074446680080484,4501.207444668008,0.9002414889336018,0.9997987927565392,497,4970
