theta,N,alpha,lambda,psi,mean_theta_hat,sd_theta_hat,mean_z_hat,sd_z_hat,mean_b_hat,sd_b_hat,power,sd_outer_power,mean_seq_stopping_time,mean_total_stopping_time,mean_total_stopping_fraction,early_stop_prob,n_outer_success,n_inner_success
0.5,2000,0.05,0.5,0.25,0.5009251819790153,0.04734366766631175,17.755895248054983,1.8336123642000393,0.99999,0.0,1.0,0.0,410.60616,910.60616,0.45530307999999997,1.0,500,25000
0.5,2000,0.05,0.5,0.5,0.5004319626663465,0.032576693068633554,14.180194532788567,1.0301654873310182,0.99999,0.0,1.0,0.0,326.73127999999997,1326.73128,0.66336564,1.0,500,25000
0.5,2000,0.05,0.5,0.75,0.4984122369779914,0.025690889898461647,9.499982800053752,0.5744657621542598,0.99999,0.0,1.0,0.0,218.27116,1718.27116,0.85913558,1.0,500,25000
0.5,2000,0.05,0.5,0.9,0.49948655372616796,0.022472802131364267,5.418945837814776,0.31782310501736755,0.99999,0.0,1.0,0.0,122.92272,1922.92272,0.96146136,1.0,500,25000
0.5,5000,0.05,0.5,0.1,0.4987630957609356,0.04383866768320167,31.813191976739205,2.9407872294798634,0.99999,0.0,0.9999600000000001,0.0008944271909999175,744.40128,1244.40128,0.24888025599999997,1.0,500,25000
0.5,5000,0.05,0.5,0.25,0.4982673787501939,0.027994770927146525,28.86766720835005,1.7143226059402532,0.99999,0.0,1.0,0.0,675.48968,1925.48968,0.38509793600000003,1.0,500,25000
0.5,5000,0.05,0.5,0.5,0.500315578474318,0.019613698704973037,23.370925296764423,0.9806849352486514,0.99999,0.0,1.0,0.0,543.63108,3043.63108,0.608726216,1.0,500,25000
0.5,5000,0.05,0.5,0.75,0.5005433244823264,0.01643886323839321,16.052025324004102,0.5812015835433035,0.99999,0.0,1.0,0.0,371.03712,4121.03712,0.8242074239999999,1.0,500,25000
0.5,5000,0.05,0.5,0.9,0.5008081975527244,0.01583066068613394,9.553558107218883,0.35398433422928965,0.99999,0.0,1.0,0.0,218.33548000000002,4718.335480000001,0.943667096,1.0,500,25000
0.5,10000,0.05,0.5,0.1,0.49866065134201887,0.030532620483993557,45.66224950536491,2.8965787098879705,0.99999,0.0,0.9999600000000001,0.0008944271909999183,1072.74172,2072.74172,0.20727417199999995,1.0,500,25000
0.5,10000,0.05,0.5,0.25,0.4996581887182922,0.019302509147095633,41.626814836944554,1.671646327816629,0.99999,0.0,1.0,0.0,975.5308,3475.5308,0.34755307999999996,1.0,500,25000
0.5,10000,0.05,0.5,0.5,0.5002992758143029,0.014311121465816541,33.73164742814976,1.0119491034863237,0.99999,0.0,1.0,0.0,787.65436,5787.65436,0.5787654360000001,1.0,500,25000
0.5,10000,0.05,0.5,0.75,0.49988552281578297,0.011632482175387126,23.349422513837673,0.5816241087693572,0.99999,0.0,1.0,0.0,543.30668,8043.30668,0.804330668,1.0,500,25000
0.5,10000,0.05,0.5,0.9,0.5008405797429851,0.010902861146294051,14.193116139318741,0.34477874234843314,0.99999,0.0,1.0,0.0,327.15084,9327.15084,0.932715084,1.0,500,25000
0.5,50000,0.05,0.5,0.1,0.5003852598341456,0.014163042175109539,104.50288950340361,3.0044349492753057,0.99999,0.0,1.0,0.0,2458.83592,7458.8359199999995,0.14917671839999996,1.0,500,25000
0.5,50000,0.05,0.5,0.25,0.500010883245574,0.0090669924401385,95.181837559677,1.7558155360422445,0.99999,0.0,0.9999600000000001,0.0008944271909999411,2239.87168,14739.87168,0.2947974336,1.0,500,25000
0.5,50000,0.05,0.5,0.5,0.49975923017872864,0.005988434236633151,77.37401882590554,0.9468545902946227,0.99999,0.0,0.9999600000000001,0.0008944271909999208,1820.86628,26820.866280000002,0.5364173256,1.0,500,25000
0.5,50000,0.05,0.5,0.75,0.4998483322016746,0.00512228348323975,54.239888835190605,0.5726887034274241,0.99999,0.0,1.0,0.0,1273.4563600000001,38773.45636,0.7754691272,1.0,500,25000
0.5,50000,0.05,0.5,0.9,0.49995475612511486,0.004505371933354508,33.707286207302054,0.3185779045842507,0.99999,0.0,1.0,0.0,787.4564799999999,45787.45647999999,0.9157491296000001,1.0,500,25000
1.0,1000,0.05,0.5,0.1,0.9993996164360041,0.09745572717871889,28.33713486612865,2.9236718153615695,0.99999,0.0,1.0,0.0,165.844,265.844,0.26584399999999997,1.0,500,25000
1.0,1000,0.05,0.5,0.25,1.008412005019076,0.0668964189885718,25.971646493446563,1.8320338848178856,0.99999,0.0,1.0,0.0,150.43772,400.43771999999996,0.40043771999999994,1.0,500,25000
